*Header begin
Subject ID = zp_6-20_18-7_radial.log
edf_name = C:\Documents and Settings\hulusi\My Documents\MotionCoherence\data\radial\zp_6-20_18-7_radial.log
Group = WS
Eye To Screen = 57
Screen Dims = 4.268750e+0124
Radius of the Big Circle = 10
Radius of the Small Circle = 1.500000e+00
Density of dots = 4
Amount of dots = 1257
Radius of a dot = 2.000000e-01
Velocity = 8
Pixel Depth= 32
Dots Colour= 200
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
TrialNo	Direction	Cohe	isCorrect	Pressed	ReactionTime	Jitter	
45		1		5.000000e-01	1		8		8.889367e-01		1.722514e+00
46		1		6.500000e-01	1		8		6.451932e-01		1.930311e+00
47		1		5.000000e-02	1		8		8.053940e-01		1.628094e+00
48		-1		5.000000e-02	-2		space		2		1.803377e+00
49		-1		5.000000e-01	1		2		9.319305e-01		1.610770e+00
50		-1		6.500000e-01	1		2		8.961564e-01		1.246940e+00
51		-1		3.000000e-01	1		2		8.843736e-01		1.922343e+00
52		-1		5.000000e-02	-2		space		2		1.626574e+00
53		-1		5.000000e-01	1		2		8.888515e-01		1.726161e+00
54		-1		8.000000e-01	1		2		8.970732e-01		1.537482e+00
55		-1		5.000000e-02	0		8		5.592398e-01		1.555739e+00
56		-1		5.000000e-02	1		2		6.675259e-01		1.336106e+00
57		1		6.500000e-01	1		8		6.057016e-01		1.619262e+00
58		-1		6.500000e-01	1		2		6.659712e-01		1.609650e+00
59		-1		8.000000e-01	1		2		7.601583e-01		1.522047e+00
60		-1		6.500000e-01	1		2		7.844151e-01		1.314463e+00
61		1		8.000000e-01	1		8		8.006437e-01		1.719329e+00
62		-1		5.000000e-01	1		2		7.807897e-01		1.738873e+00
63		-1		6.500000e-01	1		2		9.171702e-01		1.881279e+00
64		1		5.000000e-01	1		8		7.893964e-01		1.925250e+00
65		-1		6.500000e-01	1		2		8.276300e-01		1.413830e+00
66		1		3.000000e-01	1		8		8.198869e-01		1.963006e+00
67		-1		5.000000e-01	1		2		6.720910e-01		1.419957e+00
68		1		5.000000e-02	1		8		8.703514e-01		1.651681e+00
69		-1		1.500000e-01	-2		space		2		1.413073e+00
70		-1		1.500000e-01	-2		space		2		1.396835e+00
71		1		1.500000e-01	1		8		8.950202e-01		1.667134e+00
72		1		1.500000e-01	1		8		8.332523e-01		1.946207e+00
73		-1		5.000000e-02	1		2		9.115223e-01		1.603434e+00
74		1		3.000000e-01	1		8		6.917105e-01		1.620745e+00
75		-1		5.000000e-01	-2		space		2		1.317408e+00
76		-1		8.000000e-01	1		2		9.181206e-01		1.455736e+00
77		-1		6.500000e-01	1		2		5.823411e-01		1.239760e+00
78		1		6.500000e-01	1		8		3.445281e-01		1.312184e+00
79		-1		5.000000e-01	1		2		4.848099e-01		1.899479e+00
80		-1		5.000000e-02	0		8		7.570191e-01		1.318052e+00
81		1		5.000000e-02	0		2		7.272435e-01		1.311964e+00
82		-1		3.000000e-01	-2		space		2		1.600974e+00
83		1		1.500000e-01	1		8		9.816929e-01		1.226603e+00
84		1		6.500000e-01	1		8		6.719089e-01		1.755402e+00
85		1		5.000000e-01	1		8		8.261810e-01		1.829457e+00
86		1		5.000000e-01	1		8		7.364137e-01		1.729953e+00
