# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PM
#                  Percentage of Rejected Trials: %3.16
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
1.17000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.89552e-01
1.18000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 4.31603e-01
1.19000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.36182e-01
1.21000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 3.37815e-01
1.22000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.77894e-01
1.23000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 2.53544e-01
1.24000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 3.81588e-01
1.25000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.37648e-01
1.26000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.45355e-01
1.27000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 3.17492e-01
1.28000e+02, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.13184e-01
1.29000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.34989e-01
1.30000e+02, -1.00000e+00, 8.00000e-01, 1.00000e+00, 2.84976e-01
1.31000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.90692e-01
1.32000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 2.67451e-01
1.33000e+02, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.18979e-01
1.34000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 3.06975e-01
1.35000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.19399e-01
1.36000e+02, -1.00000e+00, 5.00000e-02, 0.00000e+00, 4.11111e-01
1.37000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.30576e-01
1.38000e+02, -1.00000e+00, 1.50000e-01, 1.00000e+00, 3.04743e-01
1.39000e+02, 1.00000e+00, 8.00000e-01, 1.00000e+00, 6.23050e-01
1.40000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.44283e-01
1.41000e+02, -1.00000e+00, 3.00000e-01, 1.00000e+00, 2.70160e-01
1.42000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 3.88594e-01
1.43000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.42118e-01
1.44000e+02, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.06038e-01
1.45000e+02, 1.00000e+00, 1.50000e-01, 1.00000e+00, 3.12746e-01
1.46000e+02, 1.00000e+00, 6.50000e-01, 1.00000e+00, 3.82344e-01
1.47000e+02, 1.00000e+00, 5.00000e-02, 1.00000e+00, 5.28061e-01
1.48000e+02, -1.00000e+00, 6.50000e-01, 1.00000e+00, 4.84204e-01
